Id,nFORCE__Feature_Translation__c,nFORCE__Translation_Key__c,nFORCE__Original_Text__c,nFORCE__Translated_Text__c,proposed_spanish,tracker_id,notes
a4AAU000003Qov12AC,Route_Names,es:Route_Names:YBlHUdo7QM6J7AEvdpVDgw==,Ancillary Services,,,,
a4AAU000003Qotv2AC,Route_Names,es:Route_Names:5Jh0nzxCJG1QsVyBwQHZiA==,Application,,,,
a4AAU000003QowP2AS,Route_Names,es:Route_Names:AWK85jamPDrkmSJCA+Bu0A==,Approval,,,,
a4AAU000003Qou82AC,Route_Names,es:Route_Names:Fry+gvH5OXdvyyveYlRfyg==,Approval Details,,,,
a4AAU000003Qotc2AC,Route_Names,es:Route_Names:GJZQ8BrBgaIAXromYXttzA==,Approval History,,,,
a4AAU000003QowM2AS,Route_Names,es:Route_Names:Eq6r0i/fg8nhWIYLO43ckw==,Approvals,,Aprobaciones,EV-002/NC-029,MATCHED TO TWC ITEM
a4AAU000003Qovp2AC,Route_Names,es:Route_Names:Dq5rdQFolGGmSmOcsBKCYw==,Approved Details,,,,
a4AAU000003Qovx2AC,Route_Names,es:Route_Names:piJQZ0UNhPiC9Fb6afqi/g==,Approved Fees,,,,
a4AAU000003QowK2AS,Route_Names,es:Route_Names:uYj4VdjRdA8jDwrZDwkw5Q==,Approver Details,,,,
a4AAU000003QotU2AS,Route_Names,es:Route_Names:5LL9RqSHeT3Gl6w+E6/G9A==,Assign Team,,,,
a4AAU000003QowO2AS,Route_Names,es:Route_Names:LI5crhvrZ2oyXF/PBK0DkQ==,Assign to BSU Team Member,,,,
a4AAU000003QotP2AS,Route_Names,es:Route_Names:LUE03HkHzBDFUmRZ1yJRRQ==,Auto-Decision Detail,,,,
a4AAU000003WaeX2AS,Route_Names,es:Route_Names:Txv6DKbdPmvXlbKJBuC8jw==,Automated Spreading,,,,
a4AAU000003Qot52AC,Route_Names,es:Route_Names:zZuy+vPlnfLKXOBQ5YUTpw==,Balance Details,,,,
a4AAU000003Qoud2AC,Route_Names,es:Route_Names:g7UK52CBfsOgaLpPF7EyUQ==,Beneficial Owners/Connections,,,,
a4AAU000003QowD2AS,Route_Names,es:Route_Names:+qLhloac5bT0QTmHC4p7rA==,Beneficial Ownership,,,,
a4AAU000003Qouy2AC,Route_Names,es:Route_Names:vEvuE3AWa9SDMN0Tst5pnA==,Beneficiary,,,,
a4AAU000003Qot62AC,Route_Names,es:Route_Names:yZ6AE2sTfcjc3JQCCsW5EQ==,Booked Details,,,,
a4AAU000003Qow32AC,Route_Names,es:Route_Names:pCBpYbupz7bgtY35nkUbFA==,Booked Facilities,,,,
a4AAU000003Qovg2AC,Route_Names,es:Route_Names:7bCkfAO8vf/NB0jilQ26Nw==,Booked Information,,,,
a4AAU000003QowJ2AS,Route_Names,es:Route_Names:UdetqApSsS8hplAHORQp3g==,Booking Details,,,,
a4AAU000003QotY2AS,Route_Names,es:Route_Names:33EXKOpKlH3ORh29CJF0sg==,Borrowers and Guarantors,,,,
a4AAU000003Qot72AC,Route_Names,es:Route_Names:0nJYkQDhD9UoRHI7qCpXCg==,Borrowing Structure,,,,
a4AAU000003Qosy2AC,Route_Names,es:Route_Names:2DIN4iHJWKHUbB2Cn9bAJQ==,Budget Administration,,,,
a4AAU000003QowF2AS,Route_Names,es:Route_Names:Lv/+9K+A5B1Rj2++z9+6hQ==,Budget Details,,,,
a4AAU000003Qovu2AC,Route_Names,es:Route_Names:F89FwK43tREHOvPTlfVnuA==,Budget Details L,,,,
a4AAU000003QosK2AS,Route_Names,es:Route_Names:jozT/ezQNLyzGmZgGPW2xw==,Bulk Edit,,,,
a4AAU000003Qow42AC,Route_Names,es:Route_Names:9ztUn9FJgvNxZmW6AmEyWA==,Bulk Edit Booked,,,,
a4AAU000003Qow12AC,Route_Names,es:Route_Names:Vj9RxqS14QAsm+wqTZG/yw==,Bulk Edit Post Approval,,,,
a4AAU000003QowW2AS,Route_Names,es:Route_Names:CiyxLebyiYEmDqyuiF/K6Q==,Bulk Remove,,,,
a4AAU000003QouN2AS,Route_Names,es:Route_Names:XHfwNq1gXsexm8iLP6WVyw==,Business Info,,,,
a4AAU000003QouM2AS,Route_Names,es:Route_Names:fX19uDVYV4Ft4DUDyOICUQ==,Business Search,,,,
a4AAU000003QosV2AS,Route_Names,es:Route_Names:xKLlO2y/xees/Q4GxkmxTA==,CRA,,,,
a4AAU000003QotA2AS,Route_Names,es:Route_Names:4lkE415XN4+cucLUx0xIng==,CRA Reporting,,,,
a4AAU00000429GD2AY,Route_Names,es:Route_Names:cxgQoLihL8YTZ9c+fFxa7Q==,CRE Analysis,,,,
a4AAU000003QosW2AS,Route_Names,es:Route_Names:E+Y3/pYGKSkoa5EcFrPC3w==,Certifications,,,,
a4AAU000003QotN2AS,Route_Names,es:Route_Names:AwyYRt2lOzHTq0kCGYwYPA==,Change Memo,,,,
a4AAU000003QotH2AS,Route_Names,es:Route_Names:QAudwmQo5a/DLESJOneMkg==,Change Product,,,,
a4AAU000003Qovc2AC,Route_Names,es:Route_Names:9VFQEB1+BueMuZlOvqCjeQ==,Checks,,,,
a4AAU000003Qouw2AC,Route_Names,es:Route_Names:BFWJu1dpZursHTUgW3vNVQ==,Choose a Product Line,,,,
a4AAU000003QowU2AS,Route_Names,es:Route_Names:jGOE3amNiGTQDinclheZcA==,Cleanup,,,,
a4AAU000003Qou12AC,Route_Names,es:Route_Names:XI3m+JRoL9sXhgN7IECibg==,Closing,,,,
